37 1955 56 119 1427 
9 1859 1059 17 1971 
37 1955 56 119 1427 
3 1215 1059 7 1971 
39 1856 1058 48 806 
530 2208 1325 48 1913 
1883 563 1106 2109 59 
39 2195 1315 48 2476 
3 1859 1059 17 1971 
39 2099 1059 48 1914 
9 1859 1059 17 1971 
39 2099 1059 48 1914 
1 563 660 2109 59 
37 1955 56 119 1427 
1 2339 834 914 1771 
9 1859 1059 71 1971 
1 563 150 2358 59 
1 563 658 2109 59 
9 1856 1059 7 1971 
11 1859 1123 48 808 
39 1856 1059 48 806 
1 563 150 2109 59 
9 1859 1059 71 1971 
1 691 150 2109 59 
1883 563 1106 2109 59 
1 563 873 2109 59 
1883 563 1106 2109 59 
37 1955 56 119 1427 
9 1859 1059 17 1971 
9 1859 1059 17 1971 
1 563 660 2109 59 
39 2195 2403 48 819 
39 2195 1315 48 2476 
39 2195 103 48 819 
39 2099 1059 48 1914 
39 2195 2403 48 819 
39 2195 2403 48 819 
39 1834 1059 48 806 
1 563 873 2109 59 
39 2195 2403 48 819 
39 2195 2403 48 819 
39 2099 1059 48 2144 
9 1856 1059 48 1971 
1 563 873 2109 59 
9 1859 1059 17 1971 
1 563 135 2109 59 
39 2195 1315 48 2476 
39 2099 1059 48 1914 
1 563 150 2109 59 
39 1834 1059 48 870 
1 563 2316 2109 59 
3 1859 1059 17 1971 
39 2195 1315 48 2476 
23 1859 1059 48 1960 
39 1856 1059 48 806 
1 691 150 2109 59 
39 1856 1059 48 870 
39 2099 1059 48 71 
530 2208 1325 48 1913 
39 1856 1059 48 806 
39 1834 1059 48 870 
39 2099 1059 48 2144 
9 1859 1059 17 1971 
39 2099 1059 48 71 
9 1859 1059 17 1971 
1 563 150 2109 59 
37 1955 56 119 1427 
1 563 150 2109 59 
39 2195 2403 48 819 
37 1955 56 119 1427 
39 2099 1059 48 2144 
37 1955 56 119 1427 
23 503 1059 48 1960 
1 563 150 2358 59 
11 1859 1123 48 808 
11 1859 1123 48 808 
1 563 660 2109 59 
1 563 150 2358 59 
11 1859 1123 48 808 
39 1856 1059 48 870 
7 2339 834 678 1771 
9 1856 1059 48 1971 
1 563 135 2109 59 
9 1856 1059 7 1971 
9 1859 1059 17 1971 
39 1857 663 48 808 
530 2208 1261 48 1913 
628 563 2211 2322 59 
530 2208 1325 48 1913 
1 563 144 2109 59 
39 1856 1058 48 806 
23 1859 1059 48 1960 
23 1859 1059 48 1960 
1 563 135 2109 59 
39 1834 1059 48 870 
1 2339 834 914 1771 
1 2339 834 914 1771 
37 1955 56 119 1427 
39 1834 1059 48 806 
