35 5187 2317 5939 25 3736 9859 11 1443 8738 
9481 5166 1203 7896 3170 8082 7347 5966 2275 1855 
33 5187 2227 5939 13 3843 9907 9 1443 8739 
13 5187 9139 35 5395 11 190 63 1443 56 
9481 5166 1203 7896 3170 8082 7347 5966 2275 1855 
3 5187 9139 35 5395 3923 275 61 1443 31 
9293 9005 6899 4922 6243 552 2198 3171 64 3362 
13 5187 9139 35 5395 11 190 63 1443 56 
58 5187 9139 35 5395 3923 1 15 1443 47 
29 5187 9891 5939 60 1603 57 11 1443 9138 
9293 9004 6899 4922 6243 552 2198 1 64 3362 
3 5187 9139 2755 5395 3923 275 19 1443 43 
1971 5187 9139 155 5395 3923 43 50 1443 49 
25 5187 9891 5939 50 3923 33 11 1059 8771 
9293 9005 6899 4922 6243 552 2198 3171 64 3362 
39 5187 3101 5939 6757 1158 9871 13 2349 8751 
13 5187 9139 35 5395 1843 190 63 1443 56 
39 5187 3101 5939 6755 1158 9871 13 2349 8751 
35 5187 2317 5939 49 3736 9875 9 1443 8755 
58 5187 442 5939 6757 3923 9859 11 2349 8860 
31 5187 2317 5939 3716 6701 9875 14 1443 8723 
3 5187 9139 2755 5395 3923 275 61 1443 71 
35 5187 2317 5939 60 3923 1475 13 1443 8771 
9 5187 2317 5939 60 3923 9859 13 418 8755 
3 5187 9139 35 5395 3923 275 61 1443 31 
3 5187 9139 2755 5395 3923 275 61 1443 43 
29 5187 9891 5939 60 3923 2184 11 1443 8771 
33 5187 2317 5939 60 6701 9907 9 1443 8739 
29 5187 2317 5939 60 3923 9859 23 1443 9155 
1 5187 2317 5939 3673 7105 9859 33 1443 8762 
9293 9004 6899 4922 6243 552 2198 1 64 3362 
25 5187 2317 5939 45 3843 9912 9 1443 8739 
58 5187 442 5939 6755 3923 9859 11 2349 8837 
39 5187 3101 5939 6755 1158 9871 13 2349 8751 
29 5187 9891 5939 60 3139 57 11 1443 8771 
58 5187 442 5939 6755 3908 9901 11 2349 8851 
58 5187 2184 5939 7389 3923 9859 11 1443 8872 
58 5187 9139 11 5395 3923 1 15 1443 47 
58 5187 9139 5522 5395 3923 47 1 1443 2227 
39 5187 3101 5939 6757 1158 9871 13 2349 8751 
25 5187 9891 5939 50 6685 33 11 1059 8771 
58 5187 9139 35 5395 3923 1 15 1443 47 
3 5187 9139 35 5395 3923 275 61 1443 71 
29 5219 9891 5939 60 3923 57 11 1443 8771 
58 5187 9139 11 5395 3923 1 15 1443 47 
58 5187 9139 1827 5395 3923 1 15 1443 47 
58 5187 9139 35 5395 9666 25 45 1443 2733 
1 5187 2317 5939 3112 7105 9903 3 1443 8762 
1 5187 2317 5939 3112 7105 9903 3 1443 8762 
29 5187 2317 5939 45 3843 9890 9 1443 8739 
33 5187 2317 5939 60 7612 9907 14 1443 8739 
35 5187 2317 5939 60 3923 1475 13 1443 8771 
33 5187 2317 5939 17 3072 9907 9 1443 8739 
58 5187 442 5939 6755 3923 9859 1 2349 8751 
33 5219 9891 5939 60 3923 57 11 1443 8771 
33 5187 2317 5939 60 3072 9907 9 1443 8739 
35 5187 2317 5939 25 3736 9859 9 466 8738 
35 5187 2317 5939 60 3923 9955 11 1443 8771 
3 5187 3101 5939 6755 1158 9871 13 2349 8751 
31 5187 2317 5939 3716 6701 9875 14 1443 8723 
58 5187 442 5939 6755 3912 9901 11 2349 8851 
29 5187 9891 5939 60 3923 57 11 1443 8771 
35 5187 2317 5939 17 3736 9875 11 1443 8738 
1 5187 2317 5939 3112 7105 9875 33 1443 8762 
31 5187 2317 5939 48 3736 9922 9 1443 8755 
58 5187 442 5939 6757 3923 9859 11 2349 8860 
1 5187 2317 5939 3112 7105 9859 33 1443 8762 
33 5187 2317 5939 60 6701 9907 14 1443 8739 
35 5187 2317 5939 328 3736 9859 11 1443 8738 
35 5219 9891 5939 39 3923 57 11 1443 8771 
3 5187 9139 35 5395 3923 275 61 1443 71 
1 5187 2317 5939 3112 7105 9875 33 1443 8762 
58 5187 442 5939 6755 3908 9901 11 2349 8851 
53 5187 4019 3 6083 3923 43 13 1443 2216 
1971 5187 9139 155 5395 3923 43 50 1443 49 
58 5187 442 5939 6755 3923 9859 11 2349 8851 
7731 5187 9139 35 5395 3923 1571 21 1443 56 
58 5187 442 5939 6755 3912 9901 11 2349 8851 
58 5187 2184 5939 7389 3923 9859 11 1443 8872 
1 5187 2317 5939 3112 7105 9859 33 1443 8762 
33 5187 2317 5939 62 3843 9907 9 1443 8739 
58 5187 9139 35 5395 9666 25 45 1443 2733 
3 5187 9139 35 5395 3923 275 61 1443 5 
35 5219 9891 5939 60 3923 57 11 1443 8771 
58 5187 9139 5522 5395 3923 47 1 1443 2227 
33 5187 2317 5939 60 6701 9907 9 1443 8739 
25 5187 9891 5939 50 6685 33 11 1059 8771 
28 5187 2317 5939 60 3923 9907 19 1443 8771 
29 5187 2317 5939 60 3923 47 9 1443 8771 
25 5187 9891 5939 50 3923 9 11 1059 8771 
25 5187 2317 5939 45 3843 9906 9 1443 8739 
33 5187 2317 5939 60 6701 9907 14 1443 8739 
35 5187 2317 5939 60 3923 9923 11 1443 8771 
35 5187 2317 5939 11 3736 9875 9 1443 8755 
53 5187 4019 3 6083 3923 43 13 1443 2216 
35 5219 9891 5939 39 3923 57 11 1443 8771 
29 5187 2317 5939 60 3923 9859 23 1443 9155 
33 5187 2317 5939 62 3843 9907 9 1443 8739 
35 5187 2317 5939 60 3923 9923 11 1443 8771 
35 5187 2317 5939 60 3923 9955 11 1443 8771 
