2296 2204 245 1541 655 
2072 983 235 1960 1065 
1931 906 454 2035 1457 
1403 737 454 1912 2296 
2072 983 235 2332 1065 
2296 1955 245 2478 655 
1312 1466 2460 2154 655 
1312 1189 957 1558 531 
2072 983 188 1785 875 
1312 1720 2460 1558 784 
2296 2204 245 1311 655 
2296 2204 245 2391 655 
1312 737 163 1274 2423 
1452 737 454 1912 2484 
1403 975 454 1912 2296 
1527 2204 245 1776 655 
1656 906 451 2036 1457 
2072 983 235 2332 1639 
1656 866 454 2418 1457 
2072 983 235 1822 1065 
1656 906 451 2035 1500 
1656 906 451 2036 1433 
2072 983 230 1822 1065 
1656 906 451 2039 1457 
1656 737 454 2432 1457 
2296 2204 245 1277 655 
2485 2204 245 1277 655 
1912 937 454 2035 1457 
1312 1984 2460 763 655 
1656 737 454 2035 2425 
1656 937 454 2035 1457 
1656 906 454 2035 1500 
1656 970 454 2035 1457 
1656 906 454 2039 1457 
1656 906 420 2035 1457 
1314 983 230 1822 1065 
2296 2204 245 987 655 
