2243 2451 691 19 5 
1475 1443 170 11 21 
531 2451 691 19 9 
724 2283 707 70 398 
1475 1443 170 3 19 
724 2283 707 70 398 
1475 140 52 63 12 
724 2475 691 70 398 
1475 140 54 63 11 
1475 140 52 63 12 
1475 5 170 3 19 
1475 140 54 63 11 
724 2475 119 70 398 
724 2475 691 70 398 
1475 2451 25 39 190 
1475 2451 1587 57 17 
2139 2451 691 70 1250 
952 1954 1344 1 2278 
910 2463 691 70 12 
1475 140 43 63 11 
1475 2109 54 63 1 
1475 2451 2019 62 17 
2243 826 691 19 5 
177 1949 70 841 9 
2179 2451 691 70 13 
1277 2099 53 660 2296 
910 2475 691 70 12 
1277 2099 53 660 2143 
57 2495 691 9 50 
1475 140 11 63 13 
1897 2451 798 70 19 
153 2252 69 691 37 
165 2451 691 67 14 
62 2451 798 70 19 
1475 1955 52 63 12 
171 2451 798 70 19 
1757 2032 939 70 2450 
1475 1955 52 63 13 
2243 826 691 19 5 
165 2451 691 67 15 
1757 2451 818 70 15 
1475 2451 67 25 23 
57 2498 691 9 50 
43 2339 682 64 150 
2179 2451 691 70 13 
2242 2486 678 3 536 
15 2451 691 70 51 
1826 2252 69 819 37 
1475 2451 2019 19 17 
2034 2440 691 69 1250 
1475 2451 691 70 13 
910 2475 691 70 12 
910 2463 691 70 12 
1277 2099 53 660 2296 
171 2451 798 70 19 
30 2498 691 9 532 
1475 1443 170 11 21 
952 1954 1203 1 2278 
952 1954 1344 1 2278 
830 2463 691 9 19 
177 1949 70 1324 9 
1475 1443 170 3 19 
1475 140 11 63 13 
2294 2451 691 49 15 
724 2475 119 70 398 
57 2495 691 9 50 
57 2495 691 9 4 
724 2475 691 70 8 
19 2451 691 70 983 
777 2451 134 64 17 
57 2498 549 9 50 
2369 2440 691 69 15 
2242 2451 691 19 37 
165 2451 307 68 17 
1277 2099 49 660 2202 
776 2451 691 69 15 
2369 2451 691 69 724 
2367 2451 691 19 37 
30 2495 691 9 532 
19 2451 691 70 122 
19 2451 691 70 9 
2242 2486 691 3 536 
1341 2451 691 19 3 
2243 2451 691 19 5 
2242 2486 689 3 536 
1897 2451 798 70 19 
2369 2451 691 57 15 
2370 2440 691 69 1250 
2369 2451 691 58 15 
1475 2451 691 70 13 
1475 2451 1011 70 13 
2034 2440 691 69 1250 
830 2463 691 9 19 
1788 2451 939 70 15 
1085 2451 134 64 15 
776 2441 691 69 15 
25 2099 53 660 2296 
910 2488 691 70 12 
15 2451 691 70 51 
1757 1995 939 70 2450 
