504 504 928 297 75 
2366 1704 928 630 440 
827 1605 1108 77 2144 
504 504 928 2400 75 
504 504 928 297 75 
827 1607 1108 77 2048 
298 504 928 76 2140 
1250 1607 2332 77 2048 
484 1632 928 76 2107 
1359 1606 2332 77 2048 
1756 2366 928 111 1514 
1250 1607 2332 77 384 
298 504 928 76 2140 
500 1619 1108 77 2048 
298 1632 928 76 2140 
2220 1887 928 130 2059 
1962 2366 928 111 1910 
2246 504 928 93 1912 
717 1581 1108 77 2048 
956 1541 898 77 2048 
2366 1704 928 735 440 
2374 1111 1644 526 297 
793 1608 1108 77 2048 
1962 2366 928 111 330 
2220 1366 928 121 1975 
2366 1576 1108 77 2048 
1391 2393 1108 77 2048 
2220 1366 928 121 2023 
891 1543 1108 77 2048 
1391 2393 1108 77 2048 
2042 968 446 121 1497 
1250 1607 2332 77 2048 
2144 717 1081 1644 270 
2241 1798 928 615 502 
2220 2156 928 121 1736 
891 1543 1108 77 2048 
2042 968 446 139 1497 
822 1616 1108 77 2048 
645 1543 1108 77 2048 
1962 1381 928 447 1857 
891 1544 1108 77 2048 
2013 1715 928 111 1470 
1202 2366 928 1812 2231 
1962 2366 928 111 1371 
2220 1366 928 121 2023 
1962 1381 928 111 1471 
1113 2366 928 111 1446 
2370 1798 928 615 502 
793 1608 1108 77 2048 
1962 1381 928 111 1471 
2220 1366 928 504 109 
1962 2366 928 111 1371 
1202 2366 928 1812 2233 
2220 1793 928 130 2059 
2292 1381 928 111 1630 
484 1632 928 76 2107 
717 1541 1108 77 2048 
2374 1111 1644 526 297 
1962 1381 928 447 1857 
1359 1606 2332 77 2048 
1391 2393 1110 77 2048 
1250 1607 2332 77 384 
822 1616 1108 77 2048 
500 1619 1108 77 2048 
2366 1704 928 735 440 
827 1603 1108 77 2144 
2221 1366 928 121 2064 
2133 1715 928 111 1470 
1391 1828 1108 70 2220 
793 1619 1108 77 2048 
717 1581 1108 77 2048 
1644 2366 928 111 1629 
717 1540 1108 77 2048 
2292 1381 928 111 1630 
2013 2027 928 111 1470 
649 1543 1108 77 2048 
2007 2366 928 111 1446 
2220 1366 928 121 1976 
2220 1785 928 78 2070 
796 1619 1108 77 2048 
2229 1785 928 78 2055 
298 1632 928 76 2140 
480 2136 928 1794 2405 
717 1540 1108 77 2048 
2220 1591 928 473 109 
2220 1887 928 130 2059 
1910 1541 990 48 2048 
2220 1785 928 78 2055 
480 2088 928 1800 2293 
2292 1381 1020 111 1630 
324 2076 928 1790 1612 
330 1366 928 484 2052 
2370 1798 928 615 502 
1726 2425 928 111 1629 
830 1605 1108 77 2048 
1910 1541 928 48 2048 
1962 1381 928 447 1457 
1962 1366 928 447 1459 
1962 1366 928 447 480 
2366 1576 1108 77 2048 
