352 2484 9 524 1961 
787 675 3 2227 7 
49 175 68 150 17 
352 2484 9 524 1961 
41 54 3 1459 1459 
49 175 68 150 17 
46 60 947 9 57 
45 175 68 150 21 
47 60 947 9 57 
47 60 1587 87 57 
2324 2373 10 552 957 
47 60 947 9 57 
47 54 3 1459 1459 
47 60 661 2451 57 
2274 2484 10 552 1330 
54 45 2247 547 2483 
47 60 661 2447 57 
2324 2484 10 552 957 
23 2307 25 659 2483 
2274 2484 5 552 1330 
46 60 947 9 57 
69 62 2 547 2483 
47 2067 27 1459 2211 
1749 1283 947 2447 57 
47 60 661 2447 158 
47 60 661 2447 158 
25 160 3 150 1603 
47 60 661 2447 795 
41 23 1 180 1459 
41 54 3 1459 1459 
47 60 1587 87 9 
928 2307 6 659 2483 
47 917 21 1294 2482 
69 774 15 2166 2483 
2324 2373 10 552 957 
47 781 21 699 2482 
46 60 947 2447 57 
47 1060 947 2447 57 
47 2067 3 1459 663 
55 2307 25 659 2483 
45 773 15 547 2483 
47 60 661 2450 57 
54 25 637 787 2483 
47 60 661 2447 57 
47 60 781 9 57 
69 1259 7 547 2483 
2324 2484 10 552 957 
47 2067 3 1459 930 
1718 69 2482 2 536 
2324 2484 11 552 957 
47 2067 3 1459 1859 
47 60 307 9 57 
69 62 7 931 2483 
47 60 661 2447 795 
41 23 1 180 1459 
47 2067 3 1459 1475 
1749 1283 947 2447 57 
47 152 3 699 2482 
1068 1976 68 140 17 
47 60 307 9 57 
47 2067 1 1459 1426 
47 2067 3 1459 152 
47 2067 3 1459 1172 
47 2067 27 1459 2211 
2274 2484 9 552 1330 
2274 2484 5 703 1330 
45 175 68 150 21 
47 54 3 1459 1459 
47 2067 19 1459 1043 
47 781 3 157 2483 
47 3 158 547 2483 
528 1970 68 140 17 
1068 1906 68 140 17 
47 60 2371 87 57 
1272 56 2057 547 2483 
47 781 3 659 2483 
33 160 3 150 1603 
54 45 2120 547 2483 
2071 2484 5 703 1330 
47 2067 1 1459 1058 
528 1970 68 140 17 
54 45 2120 556 2483 
47 917 21 1294 2482 
65 45 2057 547 2483 
47 2067 3 563 152 
69 937 7 547 2483 
2274 2484 9 552 1330 
47 60 707 2445 57 
69 62 7 547 2483 
1068 1731 68 140 17 
787 675 3 2227 7 
47 2067 3 1459 663 
69 774 15 2166 2483 
47 152 3 699 2482 
1068 1976 68 140 17 
47 2067 3 1459 1475 
69 62 2 547 2483 
47 1347 3 157 2483 
47 2067 1 1459 1426 
47 2067 3 1459 1043 
