1342 2388 590 992 813 
3 45 1171 2099 547 
43 195 51 3 5 
54 69 24 2099 53 
43 195 51 29 7 
19 71 3 2099 61 
67 195 15 17 3 
20 1860 506 1184 813 
1702 560 668 38 49 
57 53 3 2099 185 
2371 560 16 38 49 
54 195 1571 31 17 
56 1363 1571 31 195 
1038 59 1293 2098 2421 
56 195 1571 31 87 
54 69 3 2099 961 
54 69 3 2099 848 
675 71 3 2461 61 
2371 560 666 38 49 
2308 45 863 2099 547 
1587 35 1427 69 547 
675 71 0 2099 61 
156 71 3 907 2291 
2435 71 1284 2099 867 
17 49 1283 2099 547 
2308 45 863 2099 573 
675 71 3 2099 61 
675 53 0 2359 552 
1038 59 1331 2162 2421 
27 71 3 2099 291 
675 69 3 2099 1101 
675 71 0 2334 1319 
31 45 1427 2099 547 
43 45 903 2099 547 
675 71 3 2099 1100 
54 55 27 31 87 
31 69 1427 2099 547 
675 53 3 2099 185 
675 71 3 2099 1165 
675 71 3 2099 1266 
5 2371 666 1200 49 
48 45 1246 2099 547 
21 45 2436 2099 911 
675 71 3 2359 61 
675 71 3 2099 1779 
675 71 3 2099 146 
675 71 3 2099 1164 
13 45 2436 2099 911 
27 71 3 2099 931 
48 45 2360 2099 547 
5 2371 666 2160 49 
27 71 459 2099 160 
31 70 1427 2099 87 
2308 46 863 2099 573 
675 71 3 2099 33 
675 65 3 2099 1283 
675 71 3 2099 1319 
675 71 0 2270 1319 
675 9 2316 2099 960 
675 71 3 2099 1421 
54 87 3 2099 961 
2371 560 730 38 49 
21 71 180 2099 904 
675 71 3 2099 1851 
21 71 2436 2099 911 
3 71 1243 2099 911 
2271 71 1156 2099 911 
1038 59 1331 2098 2421 
675 71 3 2099 144 
675 71 3 2359 552 
15 45 1156 2099 547 
48 45 863 2099 547 
675 71 3 2099 1419 
54 195 1571 31 87 
3 71 1171 2099 547 
21 71 180 2099 911 
675 71 3 2099 185 
1914 39 2482 1059 49 
54 87 8 2099 961 
2324 45 3 2099 547 
2308 45 926 2099 527 
3 71 1243 2099 547 
